Model_ID,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,2.6666666666666665,120,5.036447525024414,7.0396,12.359,0.852
Llama3.2_3Bparam_lr0.1_wd0.0001,5.0305,270790.71875,0.042222222222222223,2.888888888888889,130,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,2.888888888888889,130,4.985658645629883,7.0774,12.293,0.848
Llama3.2_3Bparam_lr0.1_wd0.0001,5.0297,95930.6015625,0.03777777777777778,3.111111111111111,140,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,3.111111111111111,140,5.016712188720703,7.0545,12.332,0.851
Llama3.2_3Bparam_lr0.1_wd0.0001,5.0302,13750.6728515625,0.03333333333333333,3.3333333333333335,150,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,3.3333333333333335,150,4.971391201019287,7.0602,12.323,0.85
Llama3.2_3Bparam_lr0.1_wd0.0001,5.0376,21562.609375,0.028888888888888888,3.5555555555555554,160,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,3.5555555555555554,160,5.0055365562438965,7.0477,12.345,0.851
Llama3.2_3Bparam_lr0.1_wd0.0001,4.9999,29717.916015625,0.024444444444444446,3.7777777777777777,170,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,3.7777777777777777,170,4.95918083190918,7.0339,12.369,0.853
Llama3.2_3Bparam_lr0.1_wd0.0001,4.9929,68846.953125,0.020000000000000004,4.0,180,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,4.0,180,5.01766300201416,7.0459,12.348,0.852
Llama3.2_3Bparam_lr0.1_wd0.0001,5.0336,260339.0625,0.015555555555555557,4.222222222222222,190,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,4.222222222222222,190,5.01317024230957,7.045,12.349,0.852
Llama3.2_3Bparam_lr0.1_wd0.0001,5.0468,1213558.25,0.011111111111111112,4.444444444444445,200,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,4.444444444444445,200,5.119879245758057,7.0518,12.337,0.851
Llama3.2_3Bparam_lr0.1_wd0.0001,5.059,318820.125,0.006666666666666667,4.666666666666667,210,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,4.666666666666667,210,5.0323333740234375,7.0529,12.335,0.851
Llama3.2_3Bparam_lr0.1_wd0.0001,5.077,189544.75,0.0022222222222222222,4.888888888888889,220,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,4.888888888888889,220,5.110008239746094,7.0557,12.33,0.85
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,5.0,225,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,5.553,83191224.0,0.09555555555555556,0.2222222222222222,10,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,0.2222222222222222,10,5.650404930114746,7.0956,12.261,0.846
Llama3.2_3Bparam_lr0.1_wd0.0005,5.951,68046760.0,0.09111111111111111,0.4444444444444444,20,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,0.4444444444444444,20,5.506023406982422,7.0599,12.323,0.85
Llama3.2_3Bparam_lr0.1_wd0.0005,5.3556,3344357.75,0.08666666666666667,0.6666666666666666,30,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,0.6666666666666666,30,5.420655250549316,7.0713,12.303,0.848
Llama3.2_3Bparam_lr0.1_wd0.0005,5.6028,2150637.75,0.08222222222222222,0.8888888888888888,40,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,0.8888888888888888,40,5.624899387359619,7.0726,12.301,0.848
Llama3.2_3Bparam_lr0.1_wd0.0005,5.5722,3673609.25,0.07777777777777778,1.1111111111111112,50,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,1.1111111111111112,50,5.544097423553467,7.0587,12.325,0.85
Llama3.2_3Bparam_lr0.1_wd0.0005,15.7638,76562.8671875,0.07333333333333333,1.3333333333333333,60,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,1.3333333333333333,60,17.468769073486328,7.0158,12.401,0.855
Llama3.2_3Bparam_lr0.1_wd0.0005,12.529,24668.685546875,0.06888888888888889,1.5555555555555556,70,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,1.5555555555555556,70,8.85267162322998,6.9989,12.431,0.857
Llama3.2_3Bparam_lr0.1_wd0.0005,7.7836,327629.1875,0.06444444444444446,1.7777777777777777,80,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,1.7777777777777777,80,6.514402389526367,7.0147,12.402,0.855
Llama3.2_3Bparam_lr0.1_wd0.0005,6.3647,25187.55078125,0.06,2.0,90,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,2.0,90,5.936745643615723,6.981,12.462,0.859
Llama3.2_3Bparam_lr0.1_wd0.0005,5.5173,3163.71875,0.05555555555555556,2.2222222222222223,100,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,2.2222222222222223,100,5.161972999572754,7.0021,12.425,0.857
Llama3.2_3Bparam_lr0.1_wd0.0005,5.2876,4057438.75,0.05111111111111111,2.4444444444444446,110,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,2.4444444444444446,110,5.421837329864502,7.0471,12.345,0.851
Llama3.2_3Bparam_lr0.1_wd0.0005,6.4116,40288304.0,0.04666666666666667,2.6666666666666665,120,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,2.6666666666666665,120,17.122173309326172,7.0653,12.314,0.849
Llama3.2_3Bparam_lr0.1_wd0.0005,19.9405,1224795.125,0.042222222222222223,2.888888888888889,130,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,2.888888888888889,130,6.711539268493652,7.0819,12.285,0.847
Llama3.2_3Bparam_lr0.1_wd0.0005,6.6461,44397796.0,0.03777777777777778,3.111111111111111,140,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,3.111111111111111,140,5.739457607269287,7.0642,12.316,0.849
Llama3.2_3Bparam_lr0.1_wd0.0005,5.6728,200987344.0,0.03333333333333333,3.3333333333333335,150,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,3.3333333333333335,150,5.53169584274292,7.0553,12.331,0.85
Llama3.2_3Bparam_lr0.1_wd0.0005,5.6188,5396188.5,0.028888888888888888,3.5555555555555554,160,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,3.5555555555555554,160,5.533557415008545,7.053,12.335,0.851
Llama3.2_3Bparam_lr0.1_wd0.0005,5.6668,84735808.0,0.024444444444444446,3.7777777777777777,170,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,3.7777777777777777,170,5.538433074951172,7.0781,12.291,0.848
Llama3.2_3Bparam_lr0.1_wd0.0005,5.6981,19622270.0,0.020000000000000004,4.0,180,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,4.0,180,5.991093635559082,7.0707,12.304,0.849
Llama3.2_3Bparam_lr0.1_wd0.0005,5.7333,31192438.0,0.015555555555555557,4.222222222222222,190,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,4.222222222222222,190,5.6402363777160645,7.074,12.299,0.848
Llama3.2_3Bparam_lr0.1_wd0.0005,5.7889,4453500.0,0.011111111111111112,4.444444444444445,200,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,4.444444444444445,200,5.640026569366455,7.1186,12.222,0.843
Llama3.2_3Bparam_lr0.1_wd0.0005,5.7685,221875296.0,0.006666666666666667,4.666666666666667,210,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0005,N/A,N/A,N/A,4.666666666666667,210,5.58160400390625,7.0875,12.275,0.847
Llama3.2_3Bparam_lr0.1_wd0.0005,5.6941,18524428.0,0.0022222222222222222,4.888888888888889,220,N/A,N/A,N/A,N/A
